	participant	sentence_number	sentence_index	sentence_order	critical_reached	critical_index	critical_target	critical_distractor	critical_target_word	critical_distractor_word	target_length	condition	condition_label	ortho_similarity	phono_similarity	critical_target_freq	critical_distractor_freq	critical_target_word_freq	critical_distractor_word_freq	block_acc	block_RT	pair_distractor	pair_correct	target_pos	target_pos_verbose	resp	resp_verbose	resp_RT	resp_acc	prev_pos	prev_resp	condition_verbose	inv_RT	ortho_center	phono_center
12605	117	21	11	94	1.0	11	苛	抠	苛刻.	抠刻	3	3	phon_sim	0	1	2.4298	1.8865	0.0	0.0	1	11749	抠刻.	苛刻.	1	R	1	R	1137	1	1	1	O-P+	-0.8795074758135444	-0.5	0.5
12637	117	26	4	46	1.0	4	沐	昂	沐浴	昂浴	2	4	both_dif	0	0	2.1335	3.043	2.0899	0.0	0	7666	昂浴	沐浴	1	R	1	R	927	1	0	0	O-P-	-1.0787486515641855	-0.5	-0.5
12647	117	27	8	54	1.0	8	温	湾	温哥华	湾哥华	3	1	both_sim	1	1	3.6838	2.8899	1.9445	0.0	1	10583	湾哥华	温哥华	1	R	1	R	1010	1	1	1	O+P+	-0.9900990099009901	0.5	0.5
12656	117	29	4	52	1.0	4	活	岸	生活	生岸	2	4	both_dif	0	0	4.5825	3.2287	4.2019	0.0	1	9566	生岸	生活	0	L	0	L	969	1	1	1	O-P-	-1.0319917440660475	-0.5	-0.5
12665	117	30	5	72	1.0	5	柱	往	圆柱	圆往	2	2	orth_sim	1	0	2.7412	4.0613	1.1761	0.0	1	9465	圆往	圆柱	0	L	0	L	927	1	1	1	O+P-	-1.0787486515641855	0.5	-0.5
12675	117	31	6	51	1.0	6	漆	七	一片漆黑.	一片七黑	5	3	phon_sim	0	1	2.8669	3.6121	0.0	0.0	1	7583	一片七黑.	一片漆黑.	1	R	1	R	1075	1	0	0	O-P+	-0.9302325581395349	-0.5	0.5
12684	117	32	8	80	1.0	8	嗜	式	嗜好.	式好	3	3	phon_sim	0	1	2.49	4.0843	0.0	0.0	1	8999	式好.	嗜好.	0	L	0	L	590	1	1	1	O-P+	-1.694915254237288	-0.5	0.5
12703	117	35	13	58	1.0	13	洁	桔	洁	桔	1	1	both_sim	1	1	3.3351	2.2175	2.2504	1.6335	1	16065	桔	洁	1	R	1	R	696	1	1	1	O+P+	-1.4367816091954022	0.5	0.5
12714	117	37	6	18	1.0	6	硌	臃	硌	臃	1	4	both_dif	0	0	0.8451	1.3617	0.8451	0.0	1	10333	臃	硌	1	R	1	R	990	1	0	0	O-P-	-1.0101010101010102	-0.5	-0.5
12721	117	38	4	3	1.0	4	肢	值	四肢	四值	2	3	phon_sim	0	1	2.7889	3.8727	2.0607	0.0	1	14283	四值	四肢	0	L	0	L	989	1	0	0	O-P+	-1.0111223458038423	-0.5	0.5
