	participant	sentence_number	sentence_index	sentence_order	critical_reached	critical_index	critical_target	critical_distractor	critical_target_word	critical_distractor_word	target_length	condition	condition_label	ortho_similarity	phono_similarity	critical_target_freq	critical_distractor_freq	critical_target_word_freq	critical_distractor_word_freq	block_acc	block_RT	pair_distractor	pair_correct	target_pos	target_pos_verbose	resp	resp_verbose	resp_RT	resp_acc	prev_pos	prev_resp
3077	104	87	6	26	1.0	6	哇	蛙	哇	蛙	1.0	1	both_sim	1	1	4.0156	2.6454	3.9979	1.7709	1	14684	蛙	哇	0	L	0	L	1875.42	1	1	1
3083	104	88	0	45	1.0	0	浩	惜	大军	惜惜荡荡	2.0	2	orth_sim	1	0	2.7284	3.3773	1.9345	0.0	1	6334	ＸＸ	大军	1	R	1	R	653.5	1		
3098	104	90	8	62	1.0	8	训	巡	训	巡	1.0	1	both_sim	1	1	3.7087	3.2755	2.2355	2.1072	1	14334	巡	训	1	R	1	R	948.16	1	1	1
3113	104	92	7	51	1.0	7	棋	下	人	下痒	1.0	4	both_dif	0	0	2.8228	5.1863	5.2898	0.0	1	13050	按	人	1	R	1	R	780.84	1	0	0
3120	104	93	4	40	1.0	4	温	闻	温度	闻度	2.0	3	phon_sim	0	1	3.6838	3.8913	2.6304	0.0	1	9933	闻度	温度	1	R	1	R	716.83	1	1	1
3131	104	94	6	90	1.0	6	岗	区	山	区	1.0	2	orth_sim	1	0	2.7832	4.0708	3.345	3.5049	1	11667	都	山	0	L	0	L	843.01	1	0	0
3136	104	95	2	77	1.0	2	宛	羁	的	羁如	1.0	4	both_dif	0	0	2.1399	2.2175	6.226	0.0	1	6933	还	的	1	R	1	R	717.16	1	1	1
3157	105	2	6	64	1.0	6	文	作	的	作钙	1.0	4	both_dif	0	0	4.1522	4.8336	6.226	0.0	1	7967	所	的	0	L	0	L	358.83	1	1	1
3163	105	3	3	1	1.0	3	殃	映	殃及	映及	2.0	2	orth_sim	1	0	2.0569	2.9689	1.3222	0.0	1	8300	映及	殃及	0	L	0	L	633.11	1	1	1
3173	105	5	5	47	1.0	5	拮	诘	拮据。	诘据	3.0	1	both_sim	1	1	1.1139	1.2304	0.0	0.0	1	10300	诘据。	拮据。	0	L	0	L	3453.57	1	0	0
3179	105	6	5	73	1.0	5	酩	铬	酩酊大醉。	铬酊大醉	5.0	2	orth_sim	1	0	1.7993	1.4314	0.0	0.0	1	9900	铬酊大醉。	酩酊大醉。	1	R	1	R	2254.07	1	0	0
3185	105	7	5	38	1.0	5	息	鼻	连	鼻院	1.0	4	both_dif	0	0	4.2812	3.3753	3.8868	0.0	0	8833	从	连	0	L	1	R	3558.7	0	1	1
3196	105	8	10	91	1.0	10	枉	亡	冤枉	冤亡	2.0	3	phon_sim	0	1	2.2041	3.7843	2.0414	0.0	0	12433	冤亡,	冤枉,	1	R	0	L	568.66	0	1	1
3198	105	9	1	32	1.0	1	治	置	就要	置病	2.0	3	phon_sim	0	1	4.077	3.9547	3.4598	0.0	1	5650	转向	就要	1	R	1	R	927.1	1	1	1
3205	105	10	3	9	1.0	3	央	中	的是	中蓟	2.0	4	both_dif	0	0	2.9499	4.8435	0.0	0.0	1	11200	也是	的是	1	R	1	R	1200.84	1	1	1
3214	105	11	3	5	1.0	3	汪	注	就	注注	1.0	2	orth_sim	1	0	2.4048	4.1835	5.4419	0.0	1	9550	某	就	1	R	1	R	737.72	1	1	1
3227	105	12	8	16	1.0	8	吹	吱	们	吱出	1.0	1	both_sim	1	1	3.4048	2.3284	4.6016	0.0	0	20933	才	们	1	R	1	R	2507.04	1	0	0
3243	105	13	10	62	1.0	10	悉	息	熟悉	熟息	2.0	1	both_sim	1	1	3.1697	4.2812	3.0867	0.0	1	22517	熟息	熟悉	0	L	0	L	3432.4	1	1	1
3249	105	14	3	46	1.0	3	栖	样	两	样	1.0	2	orth_sim	1	0	2.2148	5.2079	4.5632	3.3701	1	6300	不	两	1	R	1	R	526.98	1	1	1
3265	105	16	11	49	1.0	11	殃	洋	遭殃	遭洋	2.0	3	phon_sim	0	1	2.0569	3.3473	1.9085	0.0	1	13967	遭洋	遭殃	0	L	0	L	1285.73	1	0	0
3271	105	17	4	22	1.0	4	王	网	一个	网	2.0	3	phon_sim	0	1	3.9882	3.7744	5.0672	2.9133	1	6917	引起	一个	1	R	1	R	633.0	1	0	0
3276	105	18	2	93	1.0	2	眩	头	得	头晕目迂	1.0	4	both_dif	0	0	2.2355	4.6908	5.022	0.0	1	9233	月	得	0	L	0	L	716.69	1	0	0
3283	105	19	2	80	1.0	2	芹	苇	芹菜	苇菜	2.0	2	orth_sim	1	0	1.8062	1.7404	1.5682	0.0	1	8817	苇菜	芹菜	0	L	0	L	1684.92	1	0	0
3296	105	20	7	76	1.0	7	沼	沿	的	沿泽	1.0	2	orth_sim	1	0	2.6365	2.943	6.226	0.0	1	14301	不	的	1	R	1	R	1094.83	1	1	1
3312	105	21	11	2	1.0	11	苛	荷	苛刻	荷刻	2.0	1	both_sim	1	1	2.4298	3.2418	2.2625	0.0	1	17834	荷刻.	苛刻.	0	L	0	L	2758.86	1	0	0
3320	105	22	7	6	1.0	7	纹	丸	皱纹	皱丸	2.0	3	phon_sim	0	1	3.5379	2.8871	2.0828	0.0	1	10884	皱丸	皱纹	1	R	1	R	1012.05	1	0	0
3354	105	25	18	66	1.0	18	哦	额	哦	额	1.0	3	phon_sim	0	1	4.8412	3.3137	4.8412	2.5682	1	28050	额,	哦,	0	L	0	L	779.76	1	1	1
3364	105	26	4	7	1.0	4	沐	汨	沐浴	汨浴	2.0	1	both_sim	1	1	2.1335	0.6021	2.0899	0.0	1	11933	汨浴	沐浴	0	L	0	L	1516.87	1	0	0
3377	105	27	7	89	1.0	7	温	讫	属	讫哥华	1.0	4	both_dif	0	0	3.6838	0.6021	2.4639	0.0	1	11233	性	属	0	L	0	L	2042.14	1	0	0
3388	105	28	8	28	1.0	8	熬	痉	熬夜	痉夜	2.0	4	both_dif	0	0	3.006	2.2148	2.1004	0.0	1	14934	痉夜	熬夜	1	R	1	R	864.61	1	1	1
3394	105	29	3	8	1.0	3	活	生	能够	生浊	2.0	1	both_sim	1	1	4.5825	5.2115	3.739	0.0	1	10967	最多	能够	0	L	0	L	1517.13	1	0	0
3403	105	30	4	27	1.0	4	柱	圆	你	圆述	1.0	3	phon_sim	0	1	2.7412	3.2613	6.1237	0.0	0	7000	曾	你	0	L	1	R	759.07	0	0	0
3410	105	31	6	18	1.0	6	漆	漾	一片漆黑	一片漾黑	4.0	2	orth_sim	1	0	2.8669	1.4624	0.0	0.0	1	8550	一片漾黑.	一片漆黑.	0	L	0	L	1011.96	1	0	0
3418	105	32	7	59	1.0	7	嗜	嗡	不良	嗡好	2.0	2	orth_sim	1	0	2.49	2.3802	2.4362	0.0	1	8467	一下	不良	1	R	1	R	737.28	1	1	1
3425	105	33	5	14	1.0	5	文	吻	文化	吻化	2.0	3	phon_sim	0	1	4.1522	3.6552	2.8762	0.0	1	9083	吻化	文化	1	R	1	R	801.45	1	1	1
3443	105	35	13	15	1.0	13	洁	蕴	洁	蕴	1.0	4	both_dif	0	0	3.3351	1.8195	2.2504	0.699	1	17867	蕴	洁	1	R	1	R	863.73	1	1	1
3450	105	36	5	61	1.0	5	桂	儿	是	儿	1.0	4	both_dif	0	0	2.3802	5.0228	5.9767	3.8175	1	8983	局	是	0	L	0	L	569.99	1	1	1
